,Eteläinen,Eteläinen_lower_ci,Eteläinen_upper_ci,Läntinen,Läntinen_lower_ci,Läntinen_upper_ci,Keskinen,Keskinen_lower_ci,Keskinen_upper_ci,Pohjoinen,Pohjoinen_lower_ci,Pohjoinen_upper_ci,Koillinen,Koillinen_lower_ci,Koillinen_upper_ci,Kaakkoinen,Kaakkoinen_lower_ci,Kaakkoinen_upper_ci,Itäinen,Itäinen_lower_ci,Itäinen_upper_ci,Östersundomin,Östersundomin_lower_ci,Östersundomin_upper_ci
2015,106935,106935.0,106935.0,103606,103606.0,103606.0,86193,86193.0,86193.0,41398,41398.0,41398.0,98301,98301.0,98301.0,48567,48567.0,48567.0,107480,107480.0,107480.0,2096,2096.0,2096.0
2016,108770,108770.0,108770.0,103396,103396.0,103396.0,87445,87445.0,87445.0,41244,41244.0,41244.0,98599,98599.0,98599.0,49699,49699.0,49699.0,108996,108996.0,108996.0,2048,2048.0,2048.0
2017,109874,109874.0,109874.0,103209,103209.0,103209.0,88577,88577.0,88577.0,41371,41371.0,41371.0,98914,98914.0,98914.0,51220,51220.0,51220.0,110643,110643.0,110643.0,2016,2016.0,2016.0
2018,112100,112100.0,112100.0,103413,103413.0,103413.0,90222,90222.0,90222.0,41178,41178.0,41178.0,98911,98911.0,98911.0,52280,52280.0,52280.0,111339,111339.0,111339.0,2091,2091.0,2091.0
2019,113277,113277.0,113277.0,104669,104669.0,104669.0,91535,91535.0,91535.0,41022,41022.0,41022.0,98547,98547.0,98547.0,53985,53985.0,53985.0,111876,111876.0,111876.0,2360,2360.0,2360.0
2020,115427,115427.0,115427.0,104753,104753.0,104753.0,92763,92763.0,92763.0,40791,40791.0,40791.0,98003,98003.0,98003.0,55927,55927.0,55927.0,112578,112578.0,112578.0,2804,2804.0,2804.0
2021,117105,117105.0,117105.0,104976,104976.0,104976.0,94121,94121.0,94121.0,40507,40507.0,40507.0,97263,97263.0,97263.0,57884,57884.0,57884.0,113153,113153.0,113153.0,3824,3824.0,3824.0
2022,118588,118588.0,118588.0,105484,105484.0,105484.0,95004,95004.0,95004.0,40222,40222.0,40222.0,96368,96368.0,96368.0,59009,59009.0,59009.0,113947,113947.0,113947.0,5322,5322.0,5322.0
2023,123055,123055.0,123055.0,112782,112782.0,112782.0,103446,103446.0,103446.0,43658,43658.0,43658.0,99946,99946.0,99946.0,57701,57701.0,57701.0,114283,114283.0,114283.0,1758,1758.0,1758.0
2024,124110,120738.42556011825,127481.57443988175,113619,111672.38058920433,115565.61941079567,106229,102846.12999746155,109611.87000253845,44032,43390.64946757717,44673.35053242283,100182,99508.42606617748,100855.57393382252,58816,56325.21336392328,61306.78663607672,114876,113398.97844653964,116353.02155346036,1747,988.5892882698429,2505.4107117301573
2025,124900,120131.87370056876,129668.12629943124,114919,112166.06442847404,117671.93557152596,109316,104531.89936266503,114100.10063733497,44467,43559.99337881243,45374.00662118757,100158,99205.42260752717,101110.57739247283,59585,56062.49575828265,63107.50424171735,115503,113414.17608717897,117591.82391282103,1775,702.4452856221799,2847.5547143778203
